"core","type","treatment","rep"
1,"desorption","1-time-zero",1
2,"desorption","1-time-zero",2
3,"desorption","1-time-zero",3
4,"desorption","1-time-zero",4
5,"desorption","1-time-zero",5
6,"desorption","2-wetting",1
7,"desorption","2-wetting",2
8,"desorption","2-wetting",3
9,"desorption","2-wetting",4
10,"desorption","2-wetting",5
11,"desorption","3-drying",1
12,"desorption","3-drying",2
13,"desorption","3-drying",3
14,"desorption","3-drying",4
15,"desorption","3-drying",5
16,"desorption","4-drying-rewetting",1
17,"desorption","4-drying-rewetting",2
18,"desorption","4-drying-rewetting",3
19,"desorption","4-drying-rewetting",4
20,"desorption","4-drying-rewetting",5
21,"control","1-time-zero",1
22,"control","1-time-zero",2
23,"control","1-time-zero",3
24,"control","1-time-zero",4
25,"control","1-time-zero",5
26,"control","2-wetting",1
27,"control","2-wetting",2
28,"control","2-wetting",3
29,"control","2-wetting",4
30,"control","2-wetting",5
31,"control","4-drying-rewetting",1
32,"control","4-drying-rewetting",2
33,"control","4-drying-rewetting",3
34,"control","4-drying-rewetting",4
35,"control","4-drying-rewetting",5
36,"priming","1-time-zero",1
37,"priming","1-time-zero",2
38,"priming","1-time-zero",3
39,"priming","1-time-zero",4
40,"priming","1-time-zero",5
41,"priming","2-wetting",1
42,"priming","2-wetting",2
43,"priming","2-wetting",3
44,"priming","2-wetting",4
45,"priming","2-wetting",5
