"tray","position","sample_code","sample_no"
1,"A1","COND",
1,"A2","COND",
1,"A3","COND",
1,"A4","COND",
1,"A5","MT",
1,"A6","LOW",
1,"A7","MED",
1,"A8","MT",
1,"A9","A",21
1,"A10","A",21
1,"A11","A",21
1,"A12","B",22
1,"B1","B",22
1,"B2","B",22
1,"B3","LOW",
1,"B4","MED",
1,"B5","C",23
1,"B6","C",23
1,"B7","C",23
1,"B8","D",24
1,"B9","D",24
1,"B10","D",24
1,"B11","MED",
1,"B12","MT",
1,"C1","E",25
1,"C2","E",25
1,"C3","E",25
1,"C4","F",26
1,"C5","F",26
1,"C6","F",26
1,"C7","MT",
1,"C8","LOW",
1,"C9","G",27
1,"C10","G",27
1,"C11","G",27
1,"C12","H",28
1,"D1","H",28
1,"D2","H",28
1,"D3","LOW",
1,"D4","MED",
1,"D5","I",29
1,"D6","I",29
1,"D7","I",29
1,"D8","J",30
1,"D9","J",30
1,"D10","J",30
1,"D11","LOW",
1,"D12","MED",
2,"A1","COND",
2,"A2","COND",
2,"A3","COND",
2,"A4","COND",
2,"A5","MT",
2,"A6","LOW",
2,"A7","MED",
2,"A8","MT",
2,"A9","A",31
2,"A10","A",31
2,"A11","A",31
2,"A12","B",32
2,"B1","B",32
2,"B2","B",32
2,"B3","LOW",
2,"B4","MED",
2,"B5","C",33
2,"B6","C",33
2,"B7","C",33
2,"B8","D",34
2,"B9","D",34
2,"B10","D",34
2,"B11","MED",
2,"B12","MT",
2,"C1","E",35
2,"C2","E",35
2,"C3","E",35
2,"C7","MT",
2,"C8","LOW",
3,"A1","COND",
3,"A2","COND",
3,"A3","COND",
3,"A4","COND",
3,"A5","MT",
3,"A6","LOW",
3,"A7","MED",
3,"A8","MT",
3,"A9","A",1
3,"A10","A",1
3,"A11","A",1
3,"A12","B",2
3,"B1","B",2
3,"B2","B",2
3,"B3","LOW",
3,"B4","MED",
3,"B5","C",3
3,"B6","C",3
3,"B7","C",3
3,"B8","D",4
3,"B9","D",4
3,"B10","D",4
3,"B11","MED",
3,"B12","MT",
3,"C1","E",5
3,"C2","E",5
3,"C3","E",5
3,"C4","F",6
3,"C5","F",6
3,"C6","F",6
3,"C7","MT",
3,"C8","LOW",
3,"C9","G",7
3,"C10","G",7
3,"C11","G",7
3,"C12","H",8
3,"D1","H",8
3,"D2","H",8
3,"D3","LOW",
3,"D4","MED",
3,"D5","I",9
3,"D6","I",9
3,"D7","I",9
3,"D8","J",10
3,"D9","J",10
3,"D10","J",10
3,"D11","LOW",
3,"D12","MED",
4,"A1","COND",
4,"A2","COND",
4,"A3","COND",
4,"A4","COND",
4,"A5","MT",
4,"A6","LOW",
4,"A7","MED",
4,"A8","MT",
4,"A9","A",11
4,"A10","A",11
4,"A11","A",11
4,"A12","B",12
4,"B1","B",12
4,"B2","B",12
4,"B3","LOW",
4,"B4","MED",
4,"B5","C",13
4,"B6","C",13
4,"B7","C",13
4,"B8","D",14
4,"B9","D",14
4,"B10","D",14
4,"B11","MED",
4,"B12","MT",
4,"C1","E",15
4,"C2","E",15
4,"C3","E",15
4,"C4","F",16
4,"C5","F",16
4,"C6","F",16
4,"C7","MT",
4,"C8","LOW",
4,"C9","G",17
4,"C10","G",17
4,"C11","G",17
4,"C12","H",18
4,"D1","H",18
4,"D2","H",18
4,"D3","LOW",
4,"D4","MED",
4,"D5","I",19
4,"D6","I",19
4,"D7","I",19
4,"D8","J",20
4,"D9","J",20
4,"D10","J",20
4,"D11","LOW",
4,"D12","MED",
5,"A1","COND",
5,"A2","COND",
5,"A3","COND",
5,"A4","COND",
5,"A5","MT",
5,"A6","LOW",
5,"A7","MED",
5,"A8","MT",
5,"A9","A",36
5,"A10","A",36
5,"A11","A",36
5,"A12","B",37
5,"B1","B",37
5,"B2","B",37
5,"B3","LOW",
5,"B4","MED",
5,"B5","C",38
5,"B6","C",38
5,"B7","C",38
5,"B8","D",39
5,"B9","D",39
5,"B10","D",39
5,"B11","MED",
5,"B12","MT",
5,"C1","E",40
5,"C2","E",40
5,"C3","E",40
5,"C4","F",41
5,"C5","F",41
5,"C6","F",41
5,"C7","MT",
5,"C8","LOW",
5,"C9","G",42
5,"C10","G",42
5,"C11","G",42
5,"C12","H",43
5,"D1","H",43
5,"D2","H",43
5,"D3","LOW",
5,"D4","MED",
5,"D5","I",44
5,"D6","I",44
5,"D7","I",44
5,"D8","J",45
5,"D9","J",45
5,"D10","J",45
5,"D11","LOW",
5,"D12","MED",
