"No.","Info","Name_old","Name","Method","weight_mg","N  Area","C_area","N  Factor","C_factor","N  [%]","C_perc","C/N  ratio","Memo","Date       Time","Moisture  [%]"
1,,"aspartic","aspartic","2mg70sIRMS",1.757,7609,18055,0.9396,0.9527,10.52,36.09,3.4306,,,0
2,"Cu","MT","MT","1mg70sIRMS",100,612,22,0.9396,0.9527,0.02,0,0.0519,,2020-11-10 15:26:46,0
3,"Nu,Cu","MT","MT","1mg70sIRMS",100,231,19,0.9396,0.9527,0.01,0,0.1137,,2020-11-10 16:05:16,0
4,"Nu,Cu","MT","MT","1mg70sIRMS",100,58,7,0.9396,0.9527,0,0,0.1627,,2020-11-10 16:15:48,0
5,"Nu,Cu","COND-TRAY2","COND-TRAY2","1mg70sIRMS",0.085,303,1020,0.9396,0.9527,8.81,41.99,4.7642,,2020-11-10 16:26:28,0
6,"Nu,Cu","COND","COND","1mg70sIRMS",0.054,237,690,0.9396,0.9527,10.86,44.7,4.1156,,2020-11-10 16:38:10,0
7,"Nu,Cu","COND","COND","1mg70sIRMS",0.013,324,954,0.9396,0.9527,61.67,256.68,4.1619,,2020-11-10 16:48:42,0
8,"Nu,Cu","COND","COND","1mg70sIRMS",0.018,341,928,0.9396,0.9527,46.75,180.4,3.8589,,2020-11-10 16:59:20,0
9,"Nu,Cu","MT-A5","MT-A5","1mg70sIRMS",100,37,40,0.9396,0.9527,0,0,1.5135,,2020-11-10 17:14:20,0
10,"Nu,Cu","LOW","LOW","1mg70sIRMS",0.089,343,1066,0.9396,0.9527,9.53,41.92,4.4003,,2020-11-10 17:25:03,0
11,"Nu,Cu","MED","MED","1mg70sIRMS",0.069,289,790,0.9396,0.9527,10.36,40.07,3.8692,,2020-11-10 17:35:41,0
12,"Nu,Cu","MT-A8","MT-A8","1mg70sIRMS",100,33,26,0.9396,0.9527,0,0,1.1249,,2020-11-10 17:46:31,0
13,"Nu,Cu","31r1","Tray2-A9","2mg70sIRMS",1.418,185,1165,0.9396,0.9527,0.32,2.87,8.9075,,2020-11-10 18:15:11,0
14,"Nu,Cu","31r2","Tray2-A10","2mg70sIRMS",1.251,150,1086,0.9396,0.9527,0.3,3.04,10.2314,,2020-11-10 18:27:13,0
15,"Nu,Cu","31r3","Tray2-A11","2mg70sIRMS",1.653,167,1424,0.9396,0.9527,0.25,3.01,12.069,,2020-11-10 18:39:17,0
16,"Nu,Cu","32r1","Tray2-A12","2mg70sIRMS",1.144,131,1012,0.9396,0.9527,0.28,3.09,10.9182,,2020-11-10 18:51:24,0
17,"Nu,Cu","32r2","Tray2-B1","2mg70sIRMS",1.264,167,1110,0.9396,0.9527,0.33,3.07,9.4269,,2020-11-10 19:03:31,0
18,"Nu,Cu","32r3","Tray2-B2","2mg70sIRMS",1.14,163,965,0.9396,0.9527,0.35,2.96,8.3701,,2020-11-10 19:15:39,0
19,"Nu,Cu","LOW","LOW","1mg70sIRMS",0.062,295,743,0.9396,0.9527,11.75,41.92,3.5695,,2020-11-10 19:26:20,0
20,"Nu,Cu","MED","MED","1mg70sIRMS",0.037,163,475,0.9396,0.9527,10.9,44.94,4.1227,,2020-11-10 19:37:00,0
21,"Nu,Cu","33r1","Tray2-B5","2mg70sIRMS",1.282,173,976,0.9396,0.9527,0.33,2.66,8.0059,,2020-11-10 19:48:58,0
22,"Nu,Cu","33r2","Tray2-B6","2mg70sIRMS",1.669,199,1305,0.9396,0.9527,0.3,2.74,9.2681,,2020-11-10 20:01:01,0
23,"Nu,Cu","33r3","Tray2-B7","2mg70sIRMS",1.122,163,862,0.9396,0.9527,0.36,2.69,7.4932,,2020-11-10 20:12:59,0
24,"Nu,Cu","34r1","Tray2-B8","2mg70sIRMS",1.604,175,1294,0.9396,0.9527,0.27,2.82,10.4486,,2020-11-10 20:25:01,0
25,"Nu,Cu","34r2","Tray2-B9","2mg70sIRMS",1.525,176,1329,0.9396,0.9527,0.29,3.05,10.6654,,2020-11-10 20:37:03,0
26,"Nu,Cu","34r3","Tray2-B10","2mg70sIRMS",1.343,196,1157,0.9396,0.9527,0.36,3.01,8.3677,,2020-11-10 20:49:04,0
27,"Nu,Cu","MED","MED","1mg70sIRMS",0.046,279,587,0.9396,0.9527,15.01,44.64,2.9743,,2020-11-10 20:59:59,0
28,"Nu,Cu","MT-B12","MT-B12","1mg70sIRMS",100,23,23,0.9396,0.9527,0,0,1.4013,,2020-11-10 21:10:38,0
29,"Nu,Cu","35r1","Tray2-C1","2mg70sIRMS",1.59,192,1293,0.9396,0.9527,0.3,2.84,9.517,,2020-11-10 21:22:55,0
30,"Nu,Cu","35r2","Tray2-C2","2mg70sIRMS",1.168,175,997,0.9396,0.9527,0.37,2.99,8.0486,,2020-11-10 21:34:55,0
31,"Nu,Cu","35r3","Tray2-C3","2mg70sIRMS",1.646,203,1318,0.9396,0.9527,0.31,2.8,9.1853,,2020-11-10 21:47:02,0
32,"Nu,Cu","MT-C7","MT-C7","1mg70sIRMS",100,51,33,0.9396,0.9527,0,0,0.9033,,2020-11-10 21:57:39,0
33,"Nu,Cu","LOW","LOW","1mg70sIRMS",0.055,257,665,0.9396,0.9527,11.54,42.32,3.6684,,2020-11-10 22:08:16,0
34,"Nu,Cu","MT","MT","1mg70sIRMS",100,44,23,0.9396,0.9527,0,0,0.7304,,2020-11-10 22:18:55,0
35,"Npe,Cu","MT-DAY2","MT-DAY2","1mg70sIRMS",100,8465,36,0.9396,0.9527,0.21,0,0.006,,2020-11-11 11:27:20,0
36,"Nu,Cu","MT","MT","1mg70sIRMS",100,379,25,0.9396,0.9527,0.01,0,0.0923,,2020-11-11 11:37:58,0
37,"Nu,Cu","MT","MT","1mg70sIRMS",100,117,15,0.9396,0.9527,0,0,0.185,,2020-11-11 11:48:32,0
38,"Nu,Cu","MT","MT","1mg70sIRMS",100,102,20,0.9396,0.9527,0,0,0.2751,,2020-11-11 11:59:06,0
39,,"runin","runin","1mg70sIRMS",0.817,3174,7523,0.9396,0.9527,9.52,32.16,3.3769,,2020-11-11 12:09:54,0
40,,"runin","runin","1mg70sIRMS",0.943,4244,9791,0.9396,0.9527,11.03,36.32,3.2939,,2020-11-11 12:20:31,0
41,,"aspartic","aspartic","1mg70sIRMS",0.666,2923,6855,0.9188,0.9568,10.52,36.09,3.4306,,2020-11-11 12:31:13,0
42,,"aspartic","aspartic","1mg70sIRMS",0.503,2281,5179,0.8891,0.9571,10.52,36.09,3.4306,,2020-11-11 12:41:45,0
43,"Nu,Cu","COND-TRAY1","COND-TRAY1","1mg70sIRMS",0.083,362,1002,0.904,0.9569,10.36,42.43,4.0939,,2020-11-11 12:52:29,0
44,"Nu,Cu","COND","COND","1mg70sIRMS",0.07,309,750,0.904,0.9569,10.5,37.65,3.5847,,2020-11-11 13:03:11,0
45,"Nu,Cu","COND","COND","1mg70sIRMS",0.088,415,1095,0.904,0.9569,11.2,43.72,3.9027,,2020-11-11 13:13:44,0
46,"Nu,Cu","COND","COND","1mg70sIRMS",0.069,303,899,0.904,0.9569,10.45,45.79,4.3808,,2020-11-11 13:24:34,0
47,"Nu,Cu","MT","MT","1mg70sIRMS",100,65,52,0.904,0.9569,0,0,1.1875,,2020-11-11 13:35:07,0
48,"Nu,Cu","LOW","LOW","2mg70sIRMS",0.046,263,641,0.904,0.9569,13.6,48.96,3.6014,,2020-11-11 13:47:04,0
49,"Nu,Cu","MED","MED","2mg70sIRMS",0.056,281,727,0.904,0.9569,11.94,45.66,3.8227,,2020-11-11 13:59:01,0
50,"Nu,Cu","MT","MT","1mg70sIRMS",100,52,17,0.904,0.9569,0,0,0.4672,,2020-11-11 14:09:38,0
51,"Nu,Cu","21r1","Tray1-A9","2mg70sIRMS",1.145,204,1019,0.904,0.9569,0.42,3.13,7.3757,,2020-11-11 14:21:37,0
52,"Nu,Cu","21r2","Tray1-A10","2mg70sIRMS",1.482,223,1227,0.904,0.9569,0.36,2.91,8.133,,2020-11-11 14:33:37,0
53,"Nu,Cu","21r3","Tray1-A11","2mg70sIRMS",1.559,231,1342,0.904,0.9569,0.35,3.03,8.5754,,2020-11-11 14:45:30,0
54,"Nu,Cu","22r1","Tray1-A12","2mg70sIRMS",1.268,202,1156,0.904,0.9569,0.38,3.2,8.4651,,2020-11-11 14:57:29,0
55,"Nu,Cu","22r2","Tray1-B1","2mg70sIRMS",1.118,138,863,0.904,0.9569,0.29,2.71,9.2314,,2020-11-11 15:09:27,0
56,"Nu,Cu","22r3","Tray1-B2","2mg70sIRMS",1.211,176,1062,0.904,0.9569,0.35,3.08,8.9206,,2020-11-11 15:21:18,0
57,"Nu,Cu","LOW","LOW","2mg70sIRMS",0.045,206,637,0.904,0.9569,10.89,49.74,4.5677,,2020-11-11 15:33:19,0
