"No.","Info","Name","Method","weight_mg","N_area","C_area","N_factor","C_factor","N_perc","C_perc","C_N_ratio","Memo","Date       Time","Moisture  [%]"
1,"Nu,Cu","mt","2mg70sIRMS",100,86,35,1,1,0,0,0.5719,,2021-03-17 21:23:51,0
2,"Nu,Cu","mt","2mg70sIRMS",100,90,31,1,1,0,0,0.4758,,2021-03-17 21:36:00,0
3,"Nu,Cu","mt","2mg70sIRMS",100,77,46,1,1,0,0,0.8422,,2021-03-17 21:48:06,0
4,,"runin","2mg70sIRMS",0.485,2105,5066,1,1,11.33,38.25,3.3766,,2021-03-17 22:00:15,0
5,,"runin","2mg70sIRMS",0.392,1730,4069,1,1,11.52,38.02,3.3004,,2021-03-17 22:12:25,0
6,,"aspartic","2mg70sIRMS",0.425,1879,4493,0.9116,0.9321,10.52,36.09,3.4306,,2021-03-17 22:24:31,0
7,,"aspartic","2mg70sIRMS",0.415,1837,4267,0.9105,0.9585,10.52,36.09,3.4306,,2021-03-17 22:36:38,0
8,"Nu,Cu","Tray1-A1-cond","2mg70sIRMS",0.049,274,636,0.9111,0.9453,13.4,45.03,3.3597,,2021-03-17 22:48:39,0
9,"Nu,Cu","Tray1-A2-cond","2mg70sIRMS",0.03,232,480,0.9111,0.9453,18.56,55.51,2.9913,,2021-03-17 23:00:51,0
10,"Nu,Cu","Tray1-A3-cond","2mg70sIRMS",0.056,294,697,0.9111,0.9453,12.57,43.24,3.4397,,2021-03-17 23:13:05,0
11,"Nu,Cu","Tray1-A4-cond","2mg70sIRMS",0.057,289,715,0.9111,0.9453,12.17,43.52,3.5776,,2021-03-17 23:25:11,0
12,"Nu,Cu","Tray1-A5-mt","2mg70sIRMS",100,67,67,0.9111,0.9453,0,0,1.4507,,2021-03-17 23:37:24,0
13,"Nu,Cu","Tray1-A6","2mg70sIRMS",0.04,216,540,0.9111,0.9453,12.92,46.89,3.6289,,2021-03-17 23:49:34,0
14,"Nu,Cu","Tray1-A7","2mg70sIRMS",0.073,309,878,0.9111,0.9453,10.13,41.76,4.1238,,2021-03-18 00:01:42,0
15,,"Tray1-A8","2mg70sIRMS",0.391,1746,4153,0.9111,0.9453,10.62,36.77,3.4635,,2021-03-18 00:13:49,0
