"tray","position","sample_code","sample_no"
8,"A9","A",1
8,"A10","A",1
8,"A11","A",1
8,"A12","B",2
8,"B1","B",2
8,"B2","B",2
8,"B5","C",3
8,"B6","C",3
8,"B7","C",3
8,"B8","D",4
8,"B9","D",4
8,"B10","D",4
8,"C1","E",5
8,"C2","E",5
8,"C3","E",5
8,"C4","F",6
8,"C5","F",6
8,"C6","F",6
8,"C9","G",7
8,"C10","G",7
8,"C11","G",7
8,"C12","H",8
8,"D1","H",8
8,"D2","H",8
8,"D5","I",9
8,"D6","I",9
8,"D7","I",9
8,"D8","J",10
8,"D9","J",10
8,"D10","J",10
9,"A9","A",11
9,"A10","A",11
9,"A11","A",11
9,"A12","B",12
9,"B1","B",12
9,"B2","B",12
9,"B5","C",13
9,"B6","C",13
9,"B7","C",13
9,"B8","D",14
9,"B9","D",14
9,"B10","D",14
9,"C1","E",15
9,"C2","E",15
9,"C3","E",15
9,"C4","F",16
9,"C5","F",16
9,"C6","F",16
9,"C9","G",17
9,"C10","G",17
9,"C11","G",17
9,"C12","H",18
9,"D1","H",18
9,"D2","H",18
9,"D5","I",19
9,"D6","I",19
9,"D7","I",19
9,"D8","J",20
9,"D9","J",20
9,"D10","J",20
6,"A9","A",21
6,"A10","A",21
6,"A11","A",21
6,"A12","B",22
6,"B1","B",22
6,"B2","B",22
6,"B5","C",23
6,"B6","C",23
6,"B7","C",23
6,"B8","D",24
6,"B9","D",24
6,"B10","D",24
6,"C1","E",25
6,"C2","E",25
6,"C3","E",25
6,"C4","F",26
6,"C5","F",26
6,"C6","F",26
6,"C9","G",27
6,"C10","G",27
6,"C11","G",27
6,"C12","H",28
6,"D1","H",28
6,"D2","H",28
6,"D5","I",29
6,"D6","I",29
6,"D7","I",29
6,"D8","J",30
6,"D9","J",30
6,"D10","J",30
7,"A9","A",31
7,"A10","A",31
7,"A11","A",31
7,"A12","B",32
7,"B1","B",32
7,"B2","B",32
7,"B5","C",33
7,"B6","C",33
7,"B7","C",33
7,"B8","D",34
7,"B9","D",34
7,"B10","D",34
7,"C1","E",35
7,"C2","E",35
7,"C3","E",35
10,"A9","A",36
10,"A10","A",36
10,"A11","A",36
10,"A12","B",37
10,"B1","B",37
10,"B2","B",37
10,"B5","C",38
10,"B6","C",38
10,"B7","C",38
10,"B8","D",39
10,"B9","D",39
10,"B10","D",39
10,"C1","E",40
10,"C2","E",40
10,"C3","E",40
10,"C4","F",41
10,"C5","F",41
10,"C6","F",41
10,"C9","G",42
10,"C10","G",42
10,"C11","G",42
10,"C12","H",43
10,"D1","H",43
10,"D2","H",43
10,"D5","I",44
10,"D6","I",44
10,"D7","I",44
10,"D8","J",45
10,"D9","J",45
10,"D10","J",45
