"Start_date","Start_time","Start_datetime","Stop_date","Stop_time","Stop_datetime","Core","Valve","Mass_g","Headspace, cm","Seq.Program","Initials","Notes1","Notes2","Exclude"
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S1",1,,3,,"KP","dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S2",2,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S3",3,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S4",4,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S5",5,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S6",6,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"S7",7,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G1",8,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G2",9,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G3",10,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G4",11,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G5",12,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G6",13,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"G7",14,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"blank",15,,3,,,"dry soil",,
2021-02-01,1899-12-30 16:00:00,2021-02-01 16:00:00,2021-02-01,1899-12-30 17:00:00,2021-02-01 17:00:00,"AMBIENT",16,,3,,,"dry soil",,
,,,,,,,,,,,,,,
2021-02-01,1899-12-30 17:05:00,2021-02-01 17:05:00,2021-02-02,1899-12-30 12:45:00,2021-02-02 12:45:00,"S1",1,,3,,,"conditioning",,
2021-02-01,1899-12-30 17:05:00,2021-02-01 17:05:00,2021-02-02,1899-12-30 12:45:00,2021-02-02 12:45:00,"S2",2,,3,,,"conditioning",,
