"core","D13C_VPDB_CO2","pCO2_ppm","umol_CO2C","CO2C_mg_g"
"1",630.44690625,18398.155,326.432,0.061397868338558
"10",488.393755555556,14241.805,252.687,0.0473788125
"11",-52.919658125,67.3950000000003,1.196,0.000225660377358491
"12",-51.1200222222222,59.2649999999996,1.052,0.000198490566037736
"13",-56.745449375,363.175000000001,6.444,0.00120825
"14",-49.4384433333333,179.264999999998,3.181,0.0005964375
"15",-53.9232694736842,-2.52500000000043,-0.045,-8.49056603773585e-06
"16",543.802905555556,22890.675,406.141,0.0760326365054602
"17",481.507966666667,23812.695,422.5,0.0790951638065523
"18",600.6063,21529.295,381.986,0.0718468965517241
"19",551.278333333333,22984.315,407.802,0.0768229827315542
"2",729.664735294118,21571.085,382.728,0.0718738028169014
"20",625.788005555556,21988.115,390.127,0.0732632863849765
"21",-53.8552727777778,26563.655,471.309,0.0956972588832487
"22",-53.7775442105263,15667.265,277.978,0.0566338879456706
"23",-56.5373705882353,21397.015,379.639,0.0772147118644068
"24",-53.6402016666667,20552.175,364.65,0.0740406091370558
"25",-53.0710315,24126.485,428.067,0.0872122920203735
"26",-55.0166282608696,21417.065,379.995,0.077156345177665
"27",-47.870236,18378.125,326.076,0.0665461224489796
"28",-55.786156,20844.385,369.834,0.0757339249146758
"29",-53.7716394117647,26619.695,472.303,0.0958990862944162
"3",725.757829411765,20911.225,371.02,0.0693495327102804
"30",-55.0175776470588,21973.875,389.874,0.0798376791808874
"31",-55.25625,28775.335,510.55,0.104549488054608
"32",-54.6328022222222,22103.125,392.167,0.0798982003395586
"33",-53.642910625,24121.915,427.986,0.0873440816326531
"34",-54.5941129411765,21768.595,386.232,0.0784227411167513
"35",-49.7409027777778,23818.885,422.61,0.0861005093378608
"36",-53.6925516666667,18109.244,321.306,0.0605286028257457
"37",-36.545775,12013.885,213.158,0.0402184905660377
"38",-47.7016652941176,16989.315,301.435,0.0567852433281005
"39",-42.879161875,15291.255,271.307,0.0510295297805643
"4",748.687894444445,24792.795,439.889,0.0822222429906542
"40",-55.1225090909091,26889.365,477.088,0.0897344200626959
"41",1570.137,26809.645,475.673,0.0891886875
"42",1683.0595,16813.725,298.32,0.0557607476635514
"43",1698.08183333333,22546.005,400.025,0.0751220657276995
"45",1642.10464705882,26563.015,471.298,0.0889241509433962
"5",792.817131578947,21198.545,376.118,0.0709656603773585
"6",354.132773333333,10358.905,183.794,0.0344076131045242
"7",678.207723529412,18593.125,329.891,0.0616618691588785
"8",713.231216666667,18469.325,327.694,0.061442625
"9",696.940252941176,21215.995,376.427,0.0708013166144201
"A1",-49.363970952381,732.485,NA,NA
"A2",-52.0592455555556,-16.5610000000004,NA,NA
"A3",-54.8805295,-30.8949999999993,NA,NA
"A4",852.729844193548,-41.525,NA,NA
"A5",-51.13065,79.9449999999996,NA,NA
"A6",-55.0099583333333,9.03499999999906,NA,NA
