"core","totalC_perc","totalC_mg_g","d13C_VPDB"
1,2.84,28.4,-24.03
2,3.03,30.3,-23.18
3,2.97,29.7,-23.9
4,2.65,26.5,-23.96
5,2.72,27.2,-22.31
6,2.94,29.4,-21.36
7,2.89,28.9,-23.75
8,3,30,-22.66
9,2.96,29.6,-23.67
10,2.95,29.5,-22.04
11,2.7,27,-16.41
12,2.87,28.7,-17.47
13,2.76,27.6,-4.32
14,2.73,27.3,-19.04
15,2.86,28.6,-13.63
16,3.05,30.5,-23.38
17,2.9,29,-23.6
18,2.92,29.2,-23.31
19,3,30,-24.12
20,2.82,28.2,-23.01
21,3.17,31.7,-27.18
22,3.16,31.6,-26.81
23,3.25,32.5,-26.74
24,3.18,31.8,-27.05
25,3.08,30.8,-26.67
26,3.19,31.9,-27.04
27,3.01,30.1,-26.83
28,3.03,30.3,-26.91
29,3.23,32.3,-27.06
30,3.14,31.4,-27.02
31,3.13,31.3,-27.13
32,3.21,32.1,-27.13
33,2.85,28.5,-26.86
34,3.11,31.1,-27.27
35,3.02,30.2,-27.01
36,3.08,30.8,-27.24
37,2.94,29.4,-27.43
38,2.84,28.4,-27.21
39,3.04,30.4,-27.41
40,2.99,29.9,-26.89
41,2.95,29.5,-23.35
42,2.9,29,-23.82
43,2.92,29.2,-23.1
44,2.77,27.7,-23.87
45,2.87,28.7,-24.2
