"core","d13C_A","d13C_B","d13C_C","sd","cv"
"10",7.39,6.87,7.94,0.54,0.07
"26",-27.3,-27.82,-27.76,0.28,0.01
"27",-27.58,-27.6,-27.38,0.12,0
"28",-27.71,-27.92,-27.21,0.36,0.01
"29",-27.36,-27.5,-27.17,0.17,0.01
"30",-27.41,-27.69,-26.89,0.41,0.02
"41",-18.31,-16.26,-16.88,1.05,0.06
"42",-18.37,-18.97,-20.1,0.88,0.05
"43",-17.79,-16.22,-13.61,2.11,0.13
"44",-19.91,-17.82,-18.87,1.05,0.06
"45",-17.81,-17.5,-17.78,0.17,0.01
"6",14.98,23.37,23.96,5.02,0.24
"7",-19.55,-21.17,-19.78,0.88,0.04
"8",-8,-5.25,-5.27,1.58,0.26
"9",-18.58,-17.79,-17.33,0.63,0.04
